nn;chapter;article;paragraph;name;summ
;;;г;канцелярскіе и хозяйственные расходы;62833
;;2;;Военныя училища:;4798443
;;;а;личный составъ;1778472
;;;б;учебная часть ;288320
;;;в;содержаніе юнкеровъ;2058177
;;;г;канцелярскіе и хозяйственные расходы ;673474
;;3;;Кадетскіе корпуса:;6506029
;;;а;личный составъ;2710210
;;;б;учебная часть ;133682
;;;в;содержаніе казеннокоштныхъ воспитанниковъ;1477919
;;;г;содержаніе сверхкомплектныхъ стипендіатовъ и своекоштныхъ интерновъ ;680400
;;;д;канцелярскіе и хозяйственные расходы;1503818
;;4;;Иркутская приготовительная школа:;22600
;;;а;личный составъ;11382
;;;б;учебная часть;449
;;;в;содержаніе воспитанниковъ;6199
;;;г;канцелярскіе и хозяйственные расходы;4570
;;5;;Преподавательскіе и воспитательскіе курсы ;104774
;;6;;Добавочное вознагражденіе преподавателямъ;93000
;;7;;Общія м?ры по педагогической части;121996
;;8;;Путевое довольствіе воспитанниковъ ;40429
;;9;;Выдачи по м?стнымъ привилегіямъ службы (прибавочное жалованье);27761
451;3;;;Пособія учебнымъ заведеніямъ, содержимымъ не на счетъ казны;104120
;;1;;Школ? Императора Александра II;5120
;;2;;Маріинскому д?тскому пріюту въ С-Петербург?;1000
;;3;;Александро-Маріинскому женскому институту въ Москв?;98000
;;;;Строительныя работы и пріобр?теніе недвижимыхъ имуществъ;None
452;4;;;Сооруженіе и ремонтъ зданій;1435000
;;1;;Новыя постройки и капитальныя перестройки и пріобр?теніе недвижимыхъ имуществъ;1100000
;;2;;Ремонтъ;335000
;;;;Пособія и вознагражденіе по разнымъ случаямъ;None
453;5;;;Пособія по разнымъ случаямъ;113193
;;1;;На воспитаніе сиротъ;111193
;;2;;На выдачу пособій младшимъ офицерамъ, инструкторамъ Пажескаго Его Императорскаго Величества Корпуса и военныхъ училищъ и офицерамъ Генеральнаго Штаба, прикомандировываемымъ для преподаванія военныхъ наукъ;2000
;;;;Главное Управленіе Генеральнаго Штаба;38533315
;;;;Оборона государства;None
;;;;Общiе расходы по управленію;None
454;1;;;Содержаніе центральныхъ учрежденій;None
;;1;;Главное Управленіе Генеральнаго Штаба:;964498
;;;а;личный составъ;913998
;;;б;канцелярскіе и хозяйственные расходы;50500
455;2;;;Содержаніе м?стныхъ учрежденій;2390313
;;1;;Содержаніе командующихъ войсками въ военныхъ округахъ, Военно-Окружныхъ Сов?товъ и Окружныхъ Штабовъ:;2345457
;;;а;личный составъ;2290847
;;;б;канцелярскіе и хозяйственные расходы;54610
;;2;;Исполненіе частныхъ заказовъ литографіями окружныхъ штабовъ  ;225
;;3;;Выдачи по м?стнымъ привилегіямъ службы (прибавочное жалованье);44631
456;3;;;Разные расходы администраціи;102291
;;1;;Путевыя пособія офицерамъ Генеральнаго Штаба;18890
;;2;;Полевыя по?здки офицеровъ Генеральнаго Штаба;83401
457;4;;;Топографическія и картографическія работы;679076
;;1;;Государственныя съемки;454726
;;2;;Составленіе и гравированіе картъ;118100
;;3;;Устройство полевыхъ военно-топографическихъ складовъ;61250
;;4;;Исполненіе частныхъ заказовъ по топографической части;45000
458;5;;;Разные расходы по управленію;2177450
;;1;;На секретные расходы;1947850
;;2;;Печатныя, чертежныя и переплетныя работы;72318
;;3;;Содержаніе Терапійскаго им?нія въ Турціи;482
;;4;;Содержаніе;23800
;;5;;Пособіе на изданіе «Военнаго Сборника» и «Русскаго Инвалида»;37000
;;6;;Пособіе на изданіе журнала «Изв?стія Императорской Николаевской Военной Академіи»;3000
;;7;;На эксплоатацію и содержаніе войсковыхъ автомобилей;93000
;;;;Воинскiя части арміи и команды флота;None
459;6;;;Военно-конская повинность;621600
;;1;;На произнодство военно-конской переписи;617000
;;2;;Наведеніе постояннаго учета лошадей въ Привислинскихъ, губерніяхъ;4600
460;7;;;Перевозка войскъ и грузовъ;10000000
;;1;;Перевозка войскъ, новобранцевъ и грузовъ:;7160770
;;;а;по жел?знымъ дорогамъ (кром? провіанта и фуража);4625770
;;;б;по водянымъ путямъ сообщенія (кром? провіанта и фуража);1117800
;;;в;перевозка провіанта по жел?знымъ дорогамъ и водянымъ путямъ сообщенія;1064500
;;;г;перевозка фуража по жел?знымъ дорогамъ и водянымъ путямъ сообщенія;352700
;;2;;Пересылка по грунтовымъ и шоссейнымъ дорогамъ:;2839230
;;;а;воинскія перевозки (кром? провіанта и фуража);1532139
;;;б;перевозка провіанта;1050064
;;;в;перевозка фуража;257027
;;;;Просвещеніе, науки и искусства;None
461;8;;;Расходы по ученой и учебной частямъ;647625
;;1;;Императорская Николаевская военная академія:;385893
;;;а;личный составъ;162362
;;;б;учебная часть;161350
;;;в;канцелярскіе и хозяйственные расходы;62181
;;2;;Военно-топографическое училище:;176505
;;;а;личный составъ;29220
;;;б;учебная часть;50742
;;;в;содержаніе юнкеровъ;48598
;;;г;канцелярскіе и хозяйственные расходы;47945
;;3;;Командировки для усовершенствованія въ иностранныхъ языкахъ  ;11958
;;4;;Изданіе военно-научныхъ сочиненій и руководствъ, а также покупка картъ и книгъ;73269
;;;;Казенныя операціи;None
;;;;Казенныя жел?зныя дороги;None
462;9;;;Содержаніе и эксплоатація военной жел?зной дороги Ковель-Владиміръ-Волынскій;186136
;;1;;Содержаніе кадра служащихъ и эксплоатаціонные расходы дороги  ;186136
463;10;;;Единовременные расходы по эксплоатаціи военной жел?зной дороги Ковель-Владиміръ-Волынскій;6304
;;;;Оборона государства;None
;;;;Строителъныя работы и пріобр?теніе недвижимыхъ имуществъ;None
464;11;;;Необоронительныя сооруженія;19758022
;;1;;Содержаніе главнаго комитета по устройству казармъ:;104950
;;;а;личный составъ;80150
;;;б;на канцелярскіе и хозяйственные расходы;24800
;;2;;Новыя постройки и капитальныя перестройки и пріобр?теніе недвижимыхъ имуществъ;19653072
465;12;;;Пріобр?теніе земельныхъ участковъ для лагерей, полигоновъ и стр?льбищъ;1000000
;;1;;Пріобр?теніе земельныхъ участковъ для лагерей, полигоновъ и стр?льбищъ;1000000
;;;;Главный Штабъ;16454759
;;;;Оборона государства;None
;;;;Общіе расходы по управленію;None
466;1;;;Содержаніе центральныхъ учрежденій;741270
;;1;;Главный Штабъ:;613033
;;;а;личный составъ;551210
;;;б;канцелярскіе и хозяйственные расходы;61823
;;2;;Содержаніе зданій Главнаго Штаба;128287
467;2;;;Содержаніе м?стныхъ учрежденій;70865
;;1;;Фельдъегерскій Корпусъ:;70865
;;;а;личный составъ;70221
;;;б;канцелярскіе и хозяйственные расходы;644
468;3;;;Разные расходы администраціи;79387
;;1;;На разъ?зды фельдъегерей;79387
469;4;;;Разные расходы по управленію;118207
;;1;;На секретные расходы;85300
;;2;;Печатныя, чертежныя и переплетныя работы;32607
;;3;;На разсылку войскамъ молитвенниковъ и книгъ свода военныхъ постановленій;300
;;;;Воинскія части арміи и команды флота;None
470;5;;;Награды и пособія;1943763
;;1;;Пособія офицерамъ войскъ гвардіи;382758
;;2;;Пособія на улучшеніе быта офицеровъ;587530
;;3;;Награды и пособія чинамъ военнаго в?домства ;386450
;;4;;Пособія на воспитаніе д?тей чиновъ военнаго в?домства ;144403
;;5;;Пособія офицерскимъ собраніямъ;323743
;;6;;Награды нижнимъ чинамъ;115079
;;7;;Пособіе служащимъ въ казачьихъ и иррегулярныхъ войскахъ    ;3800
;;;;Просв?щеніе, науки и искусства;None
471;6;;;Расходы по ученой и учебной частямъ;76940
;;1;;Офицерскіе курсы восточныхъ языковъ;76940
;;;;Строительныя работы и пріобр?теніе недвижимыхъ имуществъ;None
472;7;;;Сооруженіе и ремонтъ зданій;181129
;;1;;Капитальный ремонтъ и переустройство зданій Главнаго Штаба;181129
;;;;Расходы по пенсіонному обезпеченію служащихъ и аренды;None
473;8;;;Пенсіи и пенсіонныя пособія изъ казны;6375779
;;1;;6% надбавки къ жалованью, столовымъ и добавочному содержанію чиновъ военно-сухопутнаго в?домства для обращенія въ эмеритальную кассу;4875779
;;2;;Пособія эмеритальной касс? военно-сухопутнаго в?домства    ;1500000
;;;;Оборона государства;None
;;;;Пособія и вознагражденiе по разнымъ случаямъ;None
474;9;;;Пособія по разнымъ случаямъ;83200
;;1;;На выдачу пособій отставнымъ чинамъ военнаго в?домства и ихъ семействамъ;83200
;;;;Гражданское управленіе;None
;;;;Полиція;None
475;10;;;Содержаніе отд?льнаго корпуса жандармовъ;16000
;;1;;Пособія чинамъ корпуса;16000
;;;;Общіе расходы по управленiю;None
476;11;;;Содержаніе м?стныхъ учрежденій;1590410
;;1;;Начальники Кубанской и Терской областей съ ихъ канцеляріями:;66843
;;;а;личный составъ;62843
;;;б;канцелярскіе и хозяйственные расходы;4000
;;2;;Областныя и войсковыя управленія:;295023
;;;а;личный составъ;250838
;;;б;канцелярскіе и хозяйственные расходы;44185
;;3;;Управленія отд?ловъ и округовъ:;548685
;;;а;личный составъ;450065
;;;б;канцелярскіе и хозяйственные расходы;98620
;;4;;Полиція въ Кубанской и Терской областяхъ и области войска Донского:;277661
;;;а;личный составъ;271211
;;;б;канцелярскіе и хозяйственные расходы;6450
;;5;;Кубанская милиція и Терская охранная стража:;239483
;;;а;личный составъ;187083
;;;б;канцелярскіе и хозяйственные расходы ;52400
;;6;;Телеграфные расходы по управленіямъ Кубанской и Терской областей;2000
;;7;;Путевое довольствіе;45000
;;8;;Подсудное жалованье служащимъ въ Кубанской и Терской областяхъ;1600
;;9;;Выдачи по м?стнымъ привилегіямъ службы (прибавочное жалованье);13090
;;10;;На выдачу добавочныхъ денегъ медицинскимъ и ветеринарнымъ врачамъ и класснымъ фельдшерамъ, служащимъ въ областныхъ и войсковыхъ учрежденіяхъ;100680
;;11;;На жалованье по знакамъ отличія военнаго ордена лицамъ, служащимъ по административному управленію;345
477;12;;;Разные расходы по управленію;14729
;;1;;На медикаменты для лицъ невойскового сословія въ Кубанской и Терской областяхъ ;3940
;;2;;Сельскохозяйственные культурные опыты въ Терской области;400
;;3;;Содержаніе зданій и сооруженій;10389
;;;;Просв?щеніе, науки и искусства;None
478;13;;;Расходы по ученой и учебной частямъ;5192
;;1;;Содержаніе пансіонеровъ и пансіонерокъ въ учебныхъ заведеніяхъ;2752
;;2;;На выдачу пособій школамъ въ Амурскомъ войск?;2200
;;3;;Пособіе Семир?ченскому казачьему войску на содержаніе стипендій въ Омской ветеринарно-фельдшерской школ?;240
;;;;Пособія и вознагражденiя по разнымъ случаямъ;None
479;14;;;Пособія по разнымъ случаямъ;822693
;;1;;Сибирскому войску:;74944
;;;а;на перевозку соли съ боровыхъ озеръ;1000
;;;б;на содержаніе чиновъ внутренней службы;73944
;;2;;Семир?ченскому войску:;70500
;;;а;на содержаніе чиновъ внутренней службы;18500
;;;б;на содержаніе административныхъ учрежденій и на покрытіе дефицитовъ по войсковой см?т?;52000
;;3;;Уральскому войску:;196020
;;;а;на покрытіе дефицитовъ по войсковой см?т?;189000
;;;б;на выдачу пособій б?днымъ лицамъ войскового сословія ;1000
;;;в;на содержаніе штаба Уральскаго казачьяго войска;6020
;;4;;Войсковому капиталу войска Донского:;312129
;;;а;на содержаніе управленій Ростовскаго и Таганрогскаго округовъ;40359
;;;б;на содержаніе городской полиціи гор Таганрога;3800
;;;в;на содержаніе Ростовской м?стной команды;39700
;;;г;на содержаніе войскового наказного атамана и состоящихъ при немъ чиновъ областного правленія, окружныхъ управленій и полиціи;205470
;;;д;на содержаніе медиковъ, ветеринаровъ, фельдшеровъ и т п  ;22800
;;5;;Войсковымъ обывателямъ Кубанскаго, Терскаго, Астраханскаго и Сибирскаго войскъ на покупку соли;11100
;;6;;Оренбургскому казачьему войску на подкр?пленіе общаго войскового капитала;115000
;;7;;Забайкальскому казачьему войску на покрытіе см?тныхъ дефицитовъ;43000
480;15;;;Вознагражденіе за отошедшіе въ казну имущества, доходы и др;4329216
;;1;;Оренбургскому войску за земли, отданныя въ пользованiе киргизовъ;2000
;;2;;Казачьимъ войскамъ за отошедшіе въ казну доходы отъ торговли  ;137500
;;3;;Казачьимъ войскамъ за отошедшіе въ казну питейные доходы ;2355559
;;4;;Оренбургскому войску за отошедшіе въ казну горные доходы ;42857
;;5;;Войску Донскому въ возм?іценіе потерь отъ частнаго коннозаводства ;1791300
;;;;Расходы по пенсіонному обезпеченію служащихъ и аренды;None
481;16;;;Пенcіи и пенcіонныя поcобія изъ казны;5979
;;1;;Вознагражденія казачьимъ войскамъ въ возм?щеніе причитающихся въ войсковые капиталы пенсіонныхъ вычетовъ съ офицерскихъ чиновъ казачьихъ строевыхъ частей;5979
;;;;Главное Военно-Санитарное Управленіе;3839592
;;;;Оборона государства;None
;;;;Общіе расходы по управленiю;None
482;1;;;Содержаніе центральныхъ учрежденій;261525
;;1;;Главное Военно-Санитарное Управленіе:;173538
;;;а;личный составъ;163599
;;;б;канцелярскіе и хозяйственные расходы;9939
;;2;;Ветеринарное Управленіе арміи:;36896
;;;а;личный составъ;34296
;;;б;канцелярскіе и хозяйственные расходы;2600
;;3;;Военно-Санитарный Ученый Комитетъ:;34323
;;;а;личный составъ;31423
;;;б;канцелярскіе и хозяйственные расходы;2900
;;4;;Чины, состоящіе въ распоряженіи Главнаго Военно-Санитарнаго Управленія;14970
;;5;;Пособія на воспитаніе д?тей;1798
483;2;;;Содержаніе м?стныхъ учрежденій;957835
;;1;;Окружныя военно-санитарныя управленія:;431688
;;;а;личный составъ;421176
;;;б;канцелярскіе и хозяйственные расходы;10512
;;2;;Окружныя военно-ветеринарныя управленія:;142295
;;;а;личный составъ;139175
;;;б;канцелярскіе и хозяйственные расходы;3120
;;3;;Заводъ военно-врачебныхъ заготовленій:;150360
;;;а;личный составъ;141160
;;;б;канцелярскіе и хозяйственные расходы;9200
;;4;;Аптечные магазины, склады и аптеки:;154641
;;;а;личный составъ ;134557
;;;б;канцелярскіе и хозяйственные расходы    ;20084
;;5;;Военно-медицинская лабораторія Кавказскаго военнаго округа:;11072
;;;а;личный составъ;10272
;;;б;канцелярскіе и хозяйственные расходы;800
;;6;;Управленіе Абастуманскими минеральными водами:;14996
;;;а;личный составъ;11026
;;;б;канцелярскіе и хозяйственные расходы;3970
;;7;;Награды и пособія;16000
;;8;;Наемъ и содержаніе зданій;26980
;;9;;Выдачи по м?стнымъ привилегіямъ службы (прибавочное жалованье);9803
484;3;;;Разные расходы по управленію;5472
;;1;;Печатныя, чертежныя и перенлетныя работы;5472
;;;;Воинскія части арміи и команды флота;None
485;4;;;Снабженіе арміи медицинскимъ и ветеринарнымъ имуществомъ;1243872
;;1;;Заготовленіе матеріаловъ для завода военно-врачебныхъ заготовленій;571193
;;2;;Расходы завода военно-врачебныхъ заготовленій по обработк? матеріаловъ;311745
;;3;;Заготовленіе матеріаловъ и припасовъ для аптечныхъ магазиновъ, складовъ и военно-лечебныхъ заведеній;352711
;;4;;Уплата частнымъ аптекамъ и гражданскимъ больницамъ за лекарства для лицъ военнаго в?домства ;8223
;;;;Просв?щеніе, науки и искусства;None
486;5;;;Расходы по ученой и учебной частямъ;1370888
;;1;;Императорская Военно-Медицинская Академія съ клиническою больницею баронета Вилліе:;844716
;;;а;личный составъ;272682
;;;б;учебная часть ;36785
;;;в;содержаніе студентовъ;285060
;;;г;содержаніе больныхъ въ Михайловской клинической больниц? баронета Вилліе;59911
;;;д;канцелярскіе и хозяйственные расходы;190278
;;2;;Военно-фельдшерскія школы:;473969
;;;а;личный составъ;173894
;;;б;учебная часть;7750
;;;в;содержаніе воспитанниковъ;192113
;;;г;канцелярскіе и хозяйственные расходы;100212
;;3;;Зубоврачебные курсы и кабинеты при военныхъ госпиталяхъ    ;1347
;;4;;Заграничныя командировки съ ученой и учебной ц?лыо;30124
;;5;;Ученыя изсл?дованія;20322
;;6;;На стипендію завода военно-врачебныхъ заготовленій въ СПБ Технологическомъ Институт? и на уплату за право ученія стипендіата;410
;;;;Главное Военно-Судное Управленіе;1598987
;;;;Оборона государства;None
;;;;Общіе расходы по управленію;None
487;1;;;Содержаніе центральныхъ учрежденій;None
;;1;;Главное Военно-Судное Управленіе:;141930
;;;а;личный составъ;112768
;;;б;канцелярскіе и хозяйственные расходы;29162
;;;;Судъ и тюремная частъ;None
488;2;;;Содержаніе военно-судебныхъ учрежденій;1377416
;;1;;Главный военный судъ;42289
;;2;;Военно-окружные суды:;1309554
;;;а;личный составъ;1206609
;;;б;канцелярскіе и хозяйственные расходы;102945
;;3;;Награды и пособія;8000
;;4;;Выдачи по м?стнымъ привилегіямъ службы (прибавочное жалованье);17573
;;;;Просв?щеніе, науки и искусства;None
489;3;;;Расходы по ученой и учебной частямъ;None
;;1;;Александровская Военно-Юридическая Академія:;79641
;;;а;личный составъ;71591
;;;б;учебная часть;2900
;;;в;канцелярскіе и хозяйственные расходы;5150
;;;;Канцелярія Военнаго Министерства;1011573
;;;;Оборона государства;None
;;;;Общіе расходы по управленію;None
490;1;;;Содержаніе центральныхъ учрежденій;596323
;;1;;Военный Министръ и его Помощникъ;32285
;;2;;Военный Сов?тъ:;250735
;;;а;личный составъ;250435
;;;б;канцелярскіе и хозяйственные расходы;300
;;3;;Лица, состоящія при Военномъ Министр? и его Помощник?:;36466
;;;а;личный составъ;35137
;;;б;канцелярскіе и хозяйственные расходы;1329
;;4;;Канцелярія Военнаго Министерства:;235930
;;;а;личный составъ;224700
;;;б;канцелярскіе и хозяйственные расходы;11230
;;5;;Содержаніе дома Военнаго Министерства;40907
491;2;;;Разные расходы администраціи;312650
;;1;;Пріобр?теніе брилліантовыхъ орденскихъ знаковъ и подарковъ   ;20000
;;2;;Награды и пособія чинамъ военнаго в?домства;291450
;;3;;На воспитаніе д?тей;1200
492;3;;;Разные расходы по управленію;102600
;;1;;Печатныя, чертежныя и переплетныя работы;30000
;;2;;Изданіе Свода Военныхъ Постановленій;35000
;;3;;На выдачу денежныхъ вознагражденій за научные труды, полезные для военнаго д?ла ;2600
;;4;;На вознагражденіе изобр?тателей;35000
;;;;МОРСКОЕ МИНИСТЕРСТВО;159145970
;;;;Оборона государства;None
;;;;Общіе расходы по управленію;None
493;1;;;Содержаніе центральныхъ учрежденій;806304
;;1;;Морской Министръ и его Товарищъ;29423
;;2;;Члены Адмиралтействъ-Сов?та;49213
;;3;;Лица, состоящія по Министерству, чиновникъ особыхъ порученій, адъютантъ и Канцелярія Министра:;12101
;;;а;личный составъ;10251
;;;б;канцелярскіе и хозяйственные расходы;1850
;;4;;Главный Морской Штабъ:;147219
;;;а;личный составъ ;131619
;;;б;канцелярскіе и хозяйственные расходы;15600
;;5;;Морской Генеральный Штабъ:;30420
;;;а;личный составъ;23520
;;;б;канцелярскіе и хозяйственные расходы;6900
;;6;;Главное Управленіе Кораблестроенія и Снабженій:;91329
;;;а;личный составъ;85216
;;;б;канцелярскіе и хозяйственные расходы;6113
;;7;;Морской Техническій Комитетъ съ научно-техническою лабораторіею и морскимъ музеемъ:;339816
;;;а;личный составъ;311299
;;;б;канцелярскіе и хозяйственные расходы;28517
;;8;;Канцелярія Морского Министерства:;36541
;;;а;личный составъ;32741
;;;б;канцелярскіе и хозяйственные расходы;3800
;;9;;Управленіе Главнаго Медицинскаго Инспектора флота:;18868
;;;а;личный составъ;17768
;;;б;канцелярскіе и хозяйственные расходы;1100
;;10;;Главное Военно-Морское Судное Управленіе:;30067
;;;а;личный составъ;28667
;;;б;канцелярскіе и хозяйственные расходы;1400
;;11;;Архивъ Морского Министерства:;8718
;;;а;личный составъ;8018
;;;б;канцелярскіе и хозяйственные расходы;700
;;12;;Управленіе д?лами сберегательно-вспомогательной кассы морского в?домства:;12589
;;;а;личный составъ  ;10989
;;;б;канцелярскіе и хозяйственные расходы;1600
494;2;;;Содержаніе м?стныхъ учрежденій;1501228
;;1;;Портовыя управленія:;874102
;;;а;личный составъ;782964
;;;б;канцелярскіе и хозяйственные расходы;91138
;;2;;Заводы и мастерскія:;383998
;;;а;личный составъ;372414
;;;б;канцелярскіе и хозяйственные расходы;11584
;;3;;Магазины и склады:;164236
;;;а;личный составъ;162211
;;;б;канцелярскіе и хозяйственные расходы;2025
;;4;;Портовыя пріемныя коммисіи:;73172
;;;а;личный составъ;65772
;;;б;канцелярскіе и хозяйственные расходы;7400
;;5;;Выдачи по м?стнымъ привилегіямъ службы;5720
495;3;;;Содержаніе портовой полиціи;274540
;;1;;Портовая полиція:;274540
;;;;личный составъ;274540
496;4;;;Разные расходы администраціи;267500
;;1;;Путевое довольствіе:;137000
;;;а;внутри Имперіи;118000
;;;б;за границей ;19000
;;2;;Почтовые и телеграфные расходы;35400
;;3;;Награды и пособія служащимъ въ центральныхъ и м?стныхъ учрежденіяхъ;95100
497;5;;;Разные расходы по управленію;286100
;;1;;Печатныя, чертежныя и переплетныя работы;140000
;;2;;Изданіе «Морского Сборника» и журналовъ «Морской Врачъ» и «Ежем?сячникъ»;26100
;;3;;Секретные расходы;90000
;;4;;Расходы, вызываемые продажею ненужнаго и негоднаго имущества;30000
;;;;Воинскiя части арміи и команды флота;None
498;6;;;Обмундированіе;3067279
;;1;;Заготовленіе обмундированія;2483787
;;2;;Денежныя выдачи на обмундированіе;583492
499;7;;;Продовольствіе;921839
;;1;;Заготовленіе провіанта;297766
;;2;;Приварочныя деньги;624073
500;8;;;Денежное довольствіе;7247861
;;1;;Содержаніе офицерскихъ и классныхъ чиновъ:;3928496
;;;а;жалованье, столовыя и квартирныя;3816368
;;;б;добавочныя и разъ?здныя;112128
;;2;;Содержаніе нижнихъ чиновъ:;3267340
;;;а;жалованье;1513601
;;;б;добавочное жалованъе;1753739
;;3;;Канцелярскіе расходы;12683
;;4;;Хозяйственные расходы;24449
;;5;;Расходы на пріобр?теніе мыла;8957
;;6;;Выдачи по м?стнымъ привилегіямъ службы;5936
501;9;;;Расходы по спеціальному обученію командъ флота;434099
;;1;;Содержаніе учебныхъ отрядовъ;207209
;;2;;Содержаніе машинныхъ школъ;132121
;;3;;Содержаніе прочихъ школъ и учебныхъ командъ для нижнихъ чиновъ;72692
;;4;;Вознагражденіе за усп?шную стр?льбу;22077
502;10;;;Перевозки, чиновъ, командъ и грузовъ;700000
503;11;;;Командировки и почтово-телеграфные расходы;281670
;;1;;Путевое довольствіе:;279170
;;;а;внутри Имперіи;147000
;;;б;за границей ;132170
;;2;;Почтовые и телеграфные расходы;2500
504;12;;;Разные расходы по содержанію командъ флота;115169
;;1;;Награды и пособія служащимъ въ строевыхъ частяхъ;86369
;;3;;Пособія портовымъ библіотекамъ и морскимъ собраніямъ ;28800
;;;;Плаванiе судовъ;None
505;13;;;Плаваніе судовъ;18139323
;;1;;Денежное морское довольствіе офицерскихъ чиновъ:;2640977
;;;а;во внутреннемъ плаваніи;2369750
;;;б;въ заграничномъ плаваніи;271227
;;2;;Денежное морское довольствіе нижнихъ чиновъ:;1603570
;;;а;во внутреннемъ плаваніи;1465211
;;;б;въ заграничномъ плаваніи;138359
;;3;;Содержаніе вольнонаемныхъ служащихъ на судахъ и плавучихъ средствахъ;1319330
;;4;;Морская провизія:;4506626
;;;а;для внутренняго плаванія;4211154
;;;б;для заграничнаго плаванія;295472
;;5;;Топливо:;5047680
;;;а;при внутреннемъ плаваніи;4627010
;;;б;при заграничномъ плаваніи;420670
;;6;;Заготовленіе матеріаловъ для плаванія:;2512310
;;;а;внутренняго;2441845
;;;б;заграничнаго;70465
;;7;;Экстраординарные расходы при плаваніи:;508830
;;;а;внутреннемъ;429190
;;;б;заграничномъ;79640
506;14;;;Содержаніе Главнаго Гидрографическаго Управленія;83306
;;1;;Главное Гидрографическое Управленіе:;83306
;;;а;личный составъ;79806
;;;б;канцелярскіе и хозяйственные расходы;3500
507;15;;;Расходы по обезпеченію безопасности плаванія;5016033
;;1;;Личный составъ м?стныхъ учрежденій по гидрографической части и маяковъ;386456
;;2;;Содержаніе, осв?щеніе и ремонтъ маяковъ;740393
;;3;;Постройка и капитальный ремонтъ маяковъ;606267
;;4;;Содержаніе и устройство в?хъ, бакановъ и береговыхъ знаковъ:;149322
;;;а;личный составъ;27220
;;;б;хозяйственно-операціонные расходы;122102
;;5;;Содержаніе лоцмейстерскихъ и маячныхъ транспортовъ:;980505
;;;а;личный составъ;441751
;;;б;хозянетвенно-операціонные расходы;538754
;;6;;Лоцмейстерскія станціи и лоцманы:;101812
;;;а;личный составъ;80108
;;;б;хозяйственно-операціонные расходы;21704
;;7;;Съемка и пром?ръ морей:;1275737
;;;а;личныи составъ;754035
;;;б;хозяйственно-операціонные расходы;521702
;;8;;Спасательныя станціи;8500
;;9;;Производство метеорологическихъ наблюденій;9500
;;10;;Изготовленіе и пріобр?теніе картъ, книгъ и руководствъ для плаванія;374754
;;11;;Изготовленіе и пріобр?теніе мореходныхъ инструментовъ;381339
;;12;;Выдачи но м?стнымъ привилегіямъ службы (прибавочное жалованье);1448
;;;;Судостроеніе;None
508;16;—;;Постройка линейнаго корабля «Петропавловскъ»;7250000
509;17;—;;Постройка линейнаго корабля «Севастополь»;7250000
510;18;—;;Постройка линейнаго корабля «Гангутъ»;7250000
511;19;—;;Постройка линейнаго корабля «Полтава» ;7250000
512;20;—;;Постройка линейнаго корабля «Александръ III» ;4300000
512;20;—;;Постройка линейнаго корабля «Императрица Марія»;4300000
512;20;—;;Постройка линейнаго корабля «Екатерина II»;4300000
512;20;—;;Постройка 9 миноносцевъ для Чернаго моря;6000000
512;20;—;;Постройка 6 подводныхъ лодокъ для Чернаго моря;5000000
513;21;;;Постройка вспомогательныхъ судовъ, техническія улучшенія на судахъ и преміи по судостроенію;1636520
;;1;;Постройка вспомогательныхъ судовъ;725314
;;2;;Различныя техническія улучшенія на судахъ;896206
;;3;;Преміи по судостроенію;15000
514;22;;;Капитальный ремонтъ и перевооруженіе судовъ;4806094
;;1;;Капитальный ремонтъ;3914094
;;2;;На перевооруженіе подводныхъ лодокъ нов?йшими механизмами, на пріобр?теніе приборовъ нов?йшихъ усовершенствованій, а также пріобр?теніе запасныхъ приборовъ и частей механизмовъ для существующихъ подводныхъ лодокъ;892000
515;23;—;;Перевооруженіе судовъ Черноморскаго флота;2690456
516;24;;;Текущій ремонтъ судовъ и именныя работы;8047238
;;1;;Рабочая сила;2552000
;;2;;Матеріалы:;2026100
;;;а;металлы;695050
;;;б;л?са;197550
;;;в;пенька и тросы ;149500
;;;г;прочіе матеріалы и предметы;984000
;;3;;Именныя работы;3309138
;;4;;Аварійный ремонтъ;160000
;;;;Вооруженіе;None
517;25;;;Изготовленіе предметовъ по артиллерійской части;25596773
;;1;;Орудія, станки, ручное оружіе и прочіе предметы артиллерійскаго вооруженія:;9491925
;;;а;для строющихся судовъ Балтійскаго флота;1100000
;;;б;» » » Черноморскаго флота;1119434
;;;в;» » » запасныя орудія и станки;513668
;;;г;для плавающихъ судовъ;6758823
;;2;;Боевые запасы и прочіе предметы артиллерійскаго снабженія:;13793447
;;;а;для строющихся судовъ Балтійскаго флота;2187690
;;;б;» » » Черноморскаго флота;1025774
;;;в;для плавающихъ судовъ;10579983
;;3;;Артиллерійскіе опыты;2311401
518;26;;;Изготовленіе предметовъ по минной части и радіотелеграфіи;4496334
;;1;;Минные аппараты и прочіе предметы миннаго вооруженія:;282540
;;;а;для строющихся судовъ;54100
;;;б;для плавающихъ судовъ;178440
;;2;;Мины и прочіе предметы миннаго снабженія:;3548609
;;;а;изготовленіе минъ Уайтхеда и предметовъ миннаго снабженія;1848609
;;;б;изготовленіе минъ загражденія;1700000
;;3;;Минные опыты;50000
;;4;;Радіостанціи и приборы къ нимъ:;665185
;;;а;на судовыя радіостанціи;276740
;;;б;на береговыя радіостанціи;388445
519;27;;;Ремонтъ предметовъ по артиллерійской и минной частямъ и по радіотелеграфіи;445297
;;1;;Ремонтъ предметовъ по артиллерійской части;140000
;;2;;Ремонтъ предметовъ по минной части;225297
;;3;;Ремонтъ радіостанцій:;80000
